B,Li1Cs,Li2Cs,Li3Cs
836.319999999967,229.7376128947,4.176493955855,-11.257498448118
836.339999999967,230.49991384842,4.1897092200843,-11.253652701569
836.3599999999669,231.26674798697,4.2029331686868,-11.249804997417
836.3799999999669,232.03815532576,4.2161657086134,-11.245955324413
836.3999999999669,232.81417650764,4.229406777541,-11.24210367476
836.4199999999669,233.59485387996,4.2426565799458,-11.238250098436
836.4399999999669,234.38022855811,4.2559150306183,-11.234394542945
836.4599999999668,235.1703450849,4.2691821080269,-11.230537051597
836.4799999999668,235.96524389784,4.2824577555711,-11.226677534998
836.4999999999668,236.76496906192,4.2957422066731,-11.222816095282
836.5199999999668,237.56956708553,4.3090352688534,-11.218952651664
836.5399999999668,238.3790806205,4.3223370858062,-11.215087265947
836.5599999999667,239.19355465072,4.335647758729,-11.211219925264
836.5799999999667,240.01303582718,4.3489670536032,-11.207350546546
836.5999999999667,240.83757124035,4.3622951480393,-11.203479245438
836.6199999999667,241.66720669851,4.3756319677097,-11.199605922876
836.6399999999667,242.50198815995,4.388977552644,-11.195730592788
836.6599999999667,243.34196834157,4.4023319847478,-11.191853321143
836.6799999999666,244.18719156498,4.4156952469602,-11.187974072127
836.6999999999666,245.03770874589,4.4290672829344,-11.184092811297
836.7199999999666,245.8935693207,4.4424481892823,-11.1802095483
836.7399999999666,246.75482421136,4.4558380092916,-11.176324253661
836.7599999999666,247.62152523288,4.4692365704131,-11.172437023636
836.7799999999665,248.49372324117,4.4826440970202,-11.168547754434
836.7999999999665,249.37147039331,4.4960604799295,-11.164656457205
836.8199999999665,250.25482212454,4.5094858527917,-11.160763211089
836.8399999999665,251.14383079642,4.5229200874738,-11.156867927919
836.8599999999665,252.03854954043,4.5363633410925,-11.152970644386
836.8799999999665,252.93903625397,4.5498154541632,-11.14907132038
836.8999999999664,253.8453458929,4.5632765106968,-11.145170006542
836.9199999999664,254.7575332076,4.5767466045035,-11.141266664247
836.9399999999664,255.67565871209,4.5902256416476,-11.137361305153
836.9599999999664,256.59977952103,4.6037138496278,-11.133453935897
836.9799999999664,257.52995393297,4.6172110070966,-11.129544515024
836.9999999999663,258.46624241311,4.6307171850356,-11.125633061261
837.0199999999663,259.40870276506,4.6442324445909,-11.121719597943
837.0399999999663,260.35740182258,4.6577567075681,-11.117804086438
837.0599999999663,261.31239679624,4.6712900494722,-11.113886558643
837.0799999999663,262.27375289312,4.684832553267,-11.109966990763
837.0999999999663,263.24153310527,4.6983842173686,-11.106045401754
837.1199999999662,264.21580359665,4.7119448139708,-11.102121722849
837.1399999999662,265.19662806981,4.7255146889603,-11.098195999181
837.1599999999662,266.18407274769,4.7390937476031,-11.094268278315
837.1799999999662,267.17820723895,4.7526819095278,-11.090338479259
837.1999999999662,268.17909865048,4.7662792552322,-11.086406621711
837.2199999999661,269.18681441846,4.7798857470272,-11.082472713226
837.2399999999661,270.20142586085,4.7935015987862,-11.078536757606
837.2599999999661,271.22300559806,4.8071266443291,-11.07459871702
837.2799999999661,272.251623291,4.8207607986512,-11.070658634552
837.2999999999661,273.28735385547,4.8344043111072,-11.066716497158
837.3199999999661,274.33026939072,4.8480570186128,-11.062772218949
